taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2878249	Quercus subturbinella Trel.	2878247	Quercus turbinella Greene	27	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus turbinella	2878247	
2880403	Quercus × fernowii Trel.	2880403	Quercus × fernowii Trel.	91	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus fernowii	2880403	
2878243	Quercus stellata var. araniosa Sarg.	2878237	Quercus margaretiae (Ashe) Small	21	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus margaretiae	2878237	
8597370	Quercus persiifolia var. achoteana Trel.	2878354	Quercus sapotifolia Liebm.	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus sapotifolia	2878354	
2878985	Quercus transiens Gand.	2878725	Quercus robur subsp. robur	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus robur	2878688	
2878164	Quercus × rechinii (Rouy) Hy	7274450	Quercus andegavensis nothosubsp. andegavensis	45	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus andegavensis	2878158	
2879048	Quercus virens var. dentata Chapm.	2879040	Quercus minima (Sarg.) Small	6	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus minima	2879040	
2880216	Quercus brevipedunculata St.-Lag.	7069116	Quercus petraea subsp. petraea	8	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus petraea	2880130	
2878533	Quercus aquifolioides Rehder & E.H.Wilson	2878533	Quercus aquifolioides Rehder & E.H.Wilson	1359	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus aquifolioides	2878533	LC
8235360	Quercus polystachya Wall., 1831	8235360	Quercus polystachya Wall., 1831	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus polystachya	8235360	
